file,fat tree,DragonFly+,HyperX
gpt_22B-world_size1024-tp32-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,1096539223043072,1098051248663552,997479729473536
llama_65B-world_size512-tp32-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,1106786299909632,1108571211142656,1006872510403584
gpt_7B-world_size2048-tp32-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,1180340504647680,1181253243918336,1073122251132928
llama_65B-world_size2048-tp16-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,1236216391270400,1239394457354240,1125597782999040
llama_65B-world_size1024-tp32-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,1273297517903872,1274551094706176,1157992780201984
llama_405B-world_size1024-tp8-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,1173941978669056,1227348135387136,1204792774893568
gpt_175B-world_size4096-tp8-pp32-ep1-gbs16384-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,1219598566293504,1224139022008320,1220999063273472
gpt_22B-world_size2048-tp32-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,1347255002923008,1348401847271424,1224990106189824
gpt_13B-world_size2048-tp16-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,1351748620191744,1360307245615104,1234510961111040
llama_405B-world_size512-tp8-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,1194713648476160,1299714173579264,1255905972727808
gpt_13B-world_size1024-tp32-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,1384884949910528,1387697891345408,1260201473505280
llama_405B-world_size2048-tp8-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,1246855222525952,1274696123285504,1261549295501312
gpt_175B-world_size2048-tp8-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,1352313524469760,1403757992624128,1380480862142464
gpt_175B-world_size1024-tp8-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,1341752938094592,1443505297711104,1400734819049472
gpt_13B-world_size2048-tp32-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,1593042616080384,1594521108240384,1448474392678400
llama_65B-world_size2048-tp8-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,1448124532965376,1516508559753216,1485804525371392
llama_405B-world_size512-tp16-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,1636694360004096,1651797394396672,1497967198606336
llama_405B-world_size1024-tp16-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,1787651001614336,1795904100040704,1630426506592256
gpt_175B-world_size512-tp16-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,1799021058212352,1827633429889536,1656076375440384
llama_405B-world_size512-tp32-pp8-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,1837502281269248,1840222908170240,1671586363506688
gpt_175B-world_size1024-tp16-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,1899138218077184,1914043872717824,1736975616059392
gpt_22B-world_size2048-tp16-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,1901126775539712,1915432598046720,1737846130274304
gpt_175B-world_size512-tp32-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,1944137781712384,1948905824556544,1769276303283200
gpt_22B-world_size1024-tp32-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,1944760327504896,1949408971097088,1770029743110144
llama_65B-world_size1024-tp16-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,2007599662531584,2027253458043904,1839146174281728
gpt_7B-world_size2048-tp32-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,2027204462315520,2030334480549888,1843929326088192
llama_65B-world_size512-tp32-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,2049985239532032,2056133501993472,1866546605603840
gpt_175B-world_size2048-tp16-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,2132150520250368,2140434744606720,1943219789365248
llama_65B-world_size2048-tp16-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,2155578818058240,2165630341765120,1966177600950272
gpt_175B-world_size1024-tp32-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,2192622120566784,2195628354404352,1994397458694144
gpt_22B-world_size2048-tp32-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,2193700369094656,2196111116621824,1994854949998592
llama_65B-world_size1024-tp32-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,2213752753564672,2217163309919232,2014023870720000
llama_65B-world_size2048-tp32-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,2546943297257472,2549113849577472,2315992556503040
llama_405B-world_size2048-tp8-pp4-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,2349305725730816,2455089008623616,2408415999574016
llama_405B-world_size1024-tp8-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,2390410978680832,2600204410839040,2512416818618368
gpt_13B-world_size2048-tp32-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,2770253683951616,2775405167446016,2520169031987200
gpt_175B-world_size2048-tp8-pp2-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,2689350182682624,2887387290058752,2798929719115776
llama_405B-world_size512-tp16-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,3156694173368832,3215302005244416,2912003199089664
llama_405B-world_size1024-tp16-pp4-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,3273790903430144,3303803916790784,2997578375636992
llama_405B-world_size512-tp32-pp4-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,3346078367716864,3355388011320832,3045556860556288
llama_405B-world_size2048-tp16-pp8-ep1-gbs4096-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,3575968327139328,3591915859476480,3260936748269568
gpt_175B-world_size1024-tp16-pp2-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,3598749628400640,3655467192321024,3312314129872896
gpt_175B-world_size512-tp32-pp2-ep1-gbs1024-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-False_pp_only,3648303514206720,3665727349277184,3324936152300544
llama_405B-world_size1024-tp32-pp8-ep1-gbs2048-mbs1-seq4096-MOE-False-GEMM-False-flash_attn-True_pp_only,3675183676096512,3680507053178880,3343093504999424
